,description,price,url
13,"DELL Laptop Latitude 5420 GCR8W Intel Core i5 11th Gen 1135G7 (2.40GHz) 16GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit","$1,599.99 –",https://www.newegg.com/dell-latitude-5420-gcr8w-mainstream/p/1B4-0016-06FE4?Item=1B4-0016-06FE4&Description=laptop&cm_re=laptop-_-1B4-0016-06FE4-_-Product
14,"DELL Laptop Latitude 5420 CW51V Intel Core i5 11th Gen 1135G7 (2.40GHz) 16GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit","$1,450.99 –",https://www.newegg.com/dell-latitude-5420-cw51v-work-business/p/1B4-0016-06NK3?Item=1B4-0016-06NK3&Description=laptop&cm_re=laptop-_-1B4-0016-06NK3-_-Product
15,"DELL Laptop Inspiron I3505-A542BLK-1 AMD Ryzen 5 3000 Series 3450U (2.10GHz) 8GB Memory 256 GB PCIe SSD AMD Radeon Vega 8 15.6"" Windows 10 Pro",$649.99 –,https://www.newegg.com/dell-inspiron-i3505-a542blk-1-home-personal/p/N82E16834343406?Item=N82E16834343406&Description=laptop&cm_re=laptop-_-34-343-406-_-Product
16,"DELL Laptop Latitude 7420 X79HW Intel Core i5 11th Gen 1145G7 (2.60GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit","$1,589.99 –",https://www.newegg.com/dell-latitude-7420-x79hw-mainstream/p/1B4-0016-061X5?Item=1B4-0016-061X5&Description=laptop&cm_re=laptop-_-1B4-0016-061X5-_-Product
17,"Dell Latitude 5420 14"" FHD Laptop i7-1165G7 16GB 512GB SSD Windows 10 Pro 2Y6TR","$1,809.99 –",https://www.newegg.com/dell-latitude-5420-2y6tr-mainstream/p/1B4-0016-06FE3?Item=1B4-0016-06FE3&Description=laptop&cm_re=laptop-_-1B4-0016-06FE3-_-Product
18,"DELL Laptop Latitude 5510 Intel Core i5 10th Gen 10210U (1.60GHz) 8GB Memory 256 GB PCIe SSD Intel UHD Graphics 15.6"" Windows 10 Pro 64-bit",$899.99 –,https://www.newegg.com/dell-latitude-5510/p/N82E16834343440?Item=N82E16834343440&Description=laptop&cm_re=laptop-_-34-343-440-_-Product
19,"DELL Laptop Latitude 5420 Y4F3M Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit","$1,018.99 –",https://www.newegg.com/dell-latitude-5420-y4f3m-work-business/p/N82E16834343407?Item=N82E16834343407&Description=laptop&cm_re=laptop-_-34-343-407-_-Product
20,"DELL Laptop Latitude 5420 Y4F3M Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit","$1,413.89 –",https://www.newegg.com/dell-latitude-5420-y4f3m/p/1B4-0016-061Y0?Item=1B4-0016-061Y0&Description=laptop&cm_re=laptop-_-1B4-0016-061Y0-_-Product
21,"New Dell XPS 9343 13.3"" UltraSharp QHD+ Touchscreen 3200x1800 LED Anti-glare display Laptop, Intel Core i5 2.2GHz, 8GB RAM, 256GB SSD, 802.11ac, Bluetooth 4, Mini DisplayPort, Windows 10 Home","$1,999.00 –",https://www.newegg.com/p/1TS-000A-01399?Item=9SIAD3565R8079&Description=laptop&cm_re=laptop-_-1TS-000A-01399-_-Product
22,"Dell Latitude 5520 15.6"" FHD Laptop i7-1165G7 8GB 256GB SSD W10P JXYKC","$1,673.99 –",https://www.newegg.com/p/1B4-0016-06FK8?Item=1B4-0016-06FK8&Description=laptop&cm_re=laptop-_-1B4-0016-06FK8-_-Product
23,"Dell Latitude 9420 14"" Touchscreen Laptop i7-1185G7 16GB 512GB SSD Titan Gray","$2,635.99 –",https://www.newegg.com/p/1TS-000A-0FTS4?Item=1TS-000A-0FTS4&Description=laptop&cm_re=laptop-_-1TS-000A-0FTS4-_-Product
24,"Dell Latitude 3520 15.6"" Laptop i7-1165G7 8GB 256GB SSD W10P 8604F","$1,099.99 –",https://www.newegg.com/p/1TS-000A-0FTR7?Item=1TS-000A-0FTR7&Description=laptop&cm_re=laptop-_-1TS-000A-0FTR7-_-Product
25,"DELL Laptop Latitude 7320 2JPFT Intel Core i5 11th Gen 1145G7 (2.60 GHz) 8 GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 13.3"" 1920 x 1080 Windows 10 Pro 64-bit","$1,666.99 –",https://www.newegg.com/dell-latitude-7320-2jpft-mainstream/p/1B4-0016-06FE2?Item=1B4-0016-06FE2&Description=laptop&cm_re=laptop-_-1B4-0016-06FE2-_-Product
26,"Dell Latitude 3000 3420 14"" Notebook - HD - 1366 x 768 - Intel Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black - Windows 10 Pro - Intel Iris Xe Graphics -",$799.99 –,https://www.newegg.com/black-dell-3000-latitude-3420-work-business/p/2WC-0009-010T2?Item=2WC-0009-010T2&Description=laptop&cm_re=laptop-_-2WC-0009-010T2-_-Product
27,"DELL Laptop Latitude 5320 4JVT3 Intel Core i5 11th Gen 1145G7 (2.60 GHz) 8 GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 13.3"" 1920 x 1080 Windows 10 Pro 64-bit","$1,445.99 –",https://www.newegg.com/dell-latitude-5320-4jvt3-mainstream/p/1B4-0016-06FW9?Item=1B4-0016-06FW9&Description=laptop&cm_re=laptop-_-1B4-0016-06FW9-_-Product
28,"Dell Latitude 3000 3520 15.6"" Notebook - HD - 1366 x 768 - Intel Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 500 GB HDD - Black - Windows 10 Pro - Intel Iris Xe graphics",$799.99 –,https://www.newegg.com/p/2WC-0009-010R7?Item=2WC-0009-010R7&Description=laptop&cm_re=laptop-_-2WC-0009-010R7-_-Product
29,"Dell XPS 9000 13 9310 Touchscreen 2 in 1 Notebook - FHD+ - 1920 x 1200 - Intel Core i7 (11th Gen) i7-1165G7 Quad-core (4 Core) - 16 GB RAM - 512 GB SSD - Platinum Silver, Black - Windows 10 Pro - Inte","$1,705.99 –",https://www.newegg.com/p/1TS-000A-0DDA1?Item=1TS-000A-0DDA1&Description=laptop&cm_re=laptop-_-1TS-000A-0DDA1-_-Product
30,"DELL Laptop Latitude 7320 KMRFY Intel Core i7 11th Gen 1185G7 (3.00GHz) 16GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 13.3"" Windows 10 Pro 64-bit","$1,984.99 –",https://www.newegg.com/dell-latitude-7320-kmrfy-work-business/p/1B4-0016-06FX0?Item=1B4-0016-06FX0&Description=laptop&cm_re=laptop-_-1B4-0016-06FX0-_-Product
31,"Dell Latitude 3000 3420 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black - Windows 10 Pro - Intel Iris Xe Grap",$839.99 –,https://www.newegg.com/black-dell-3000-latitude-3420-work-business/p/2WC-0009-010T7?Item=2WC-0009-010T7&Description=laptop&cm_re=laptop-_-2WC-0009-010T7-_-Product
32,"Dell Precision 3561 15.6"" Laptop i7-11800H 16GB 512GB SSD W10P X2CND","$2,157.99 –",https://www.newegg.com/p/1TS-000A-0JTX5?Item=1TS-000A-0JTX5&Description=laptop&cm_re=laptop-_-1TS-000A-0JTX5-_-Product
33,"Dell Latitude 5521 15.6"" Laptop i5-11400H 8GB 256GB SSD W10P 7JYN4","$1,473.99 –",https://www.newegg.com/p/1TS-000A-0H469?Item=1TS-000A-0H469&Description=laptop&cm_re=laptop-_-1TS-000A-0H469-_-Product
34,"Dell Latitude 3190 11.6"" Touchscreen Laptop Pentium N5030 4GB 128GB SSD W10P",$453.99 –,https://www.newegg.com/p/1TS-000A-0DD00?Item=1TS-000A-0DD00&Description=laptop&cm_re=laptop-_-1TS-000A-0DD00-_-Product
